day	sum	infected	cured	deceased
436	264986.309623	24.325080	223866.127335	41095.857208
437	264987.763545	23.820909	223867.785972	41096.156664
438	264989.187059	23.326994	223869.410164	41096.449901
439	264990.580767	22.843087	223871.000631	41096.737049
440	264991.945267	22.368954	223872.558077	41097.018235
441	264993.281146	21.904369	223874.083192	41097.293584
442	264994.588986	21.449118	223875.576650	41097.563218
443	264995.869363	21.002995	223877.039112	41097.827255
444	264997.122843	20.565805	223878.471224	41098.085813
445	264998.349988	20.137367	223879.873615	41098.339006
446	264999.551350	19.717504	223881.246903	41098.586943
447	265000.727477	19.306055	223882.591687	41098.829735
448	265001.878909	18.902866	223883.908556	41099.067487
449	265003.006176	18.507795	223885.198079	41099.300301
450	265004.109805	18.120710	223886.460815	41099.528280
451	265005.190314	17.741488	223887.697306	41099.751520
452	265006.248214	17.370019	223888.908079	41099.970116
453	265007.284010	17.006200	223890.093647	41100.184163
454	265008.298198	16.649942	223891.254508	41100.393748
455	265009.291268	16.301163	223892.391145	41100.598960
456	265010.263705	15.959794	223893.504027	41100.799884
457	265011.215983	15.625775	223894.593608	41100.996600
458	265012.148571	15.299056	223895.660326	41101.189189
459	265013.061932	14.979599	223896.704607	41101.377726
460	265013.956520	14.667374	223897.726859	41101.562287
461	265014.832781	14.362351	223898.727487	41101.742944
462	265015.691038	14.063975	223899.707233	41101.919830
463	265016.531588	13.771850	223900.666685	41102.093053
464	265017.354759	13.485831	223901.606245	41102.262684
465	265018.160876	13.205773	223902.526308	41102.428795
466	265018.950260	12.931538	223903.427266	41102.591457
467	265019.723230	12.662990	223904.309502	41102.750738
468	265020.480099	12.399997	223905.173394	41102.906708
469	265021.221180	12.142432	223906.019315	41103.059433
470	265021.946780	11.890171	223906.847629	41103.208980
471	265022.657202	11.643092	223907.658697	41103.355413
472	265023.352748	11.401080	223908.452872	41103.498796
473	265024.033714	11.164021	223909.230502	41103.639191
474	265024.700395	10.931807	223909.991926	41103.776661
475	265025.353080	10.704332	223910.737482	41103.911266
476	265025.992056	10.481494	223911.467496	41104.043065
477	265026.617606	10.263197	223912.182292	41104.172117
478	265027.230010	10.049345	223912.882187	41104.298478
479	265027.829545	9.839848	223913.567491	41104.422205
480	265028.416482	9.634621	223914.238508	41104.543353
481	265028.991092	9.433580	223914.895537	41104.661975
482	265029.553640	9.236647	223915.538869	41104.778124
483	265030.104388	9.043745	223916.168790	41104.891852
484	265030.643595	8.854805	223916.785581	41105.003209
485	265031.171517	8.669758	223917.389514	41105.112245
486	265031.688405	8.488539	223917.980858	41105.219008
487	265032.194509	8.311091	223918.559872	41105.323546
488	265032.690071	8.137355	223919.126814	41105.425903
489	265033.175335	7.967279	223919.681931	41105.526126
490	265033.650538	7.800814	223920.225467	41105.624257
491	265034.115915	7.637917	223920.757658	41105.720341
492	265034.571696	7.478544	223921.278734	41105.814418
493	265035.018109	7.322659	223921.788922	41105.906528
494	265035.455378	7.170228	223922.288438	41105.996713
